ETC_20150317_000001	Kepa
ETC_20150317_000089	От чего произошел Matsum - от растения, животного или минерала - не важно. Все, что ты должен знать: он опасен.
ETC_20150317_000090	Matsuma
ETC_20150317_000091	Mirtis Ego
ETC_20150317_000092	Molich
ETC_20150317_000093	Mini Griba
ETC_20150317_000094	Green Griba
ETC_20150317_000095	Red Griba
ETC_20150317_000096	Несмотря на то, что яркий цвет делает их гораздо симпатичнее, уклониться от их атак все еще очень сложно.
ETC_20150317_000097	Yellow Griba
ETC_20150317_000098	Large Red Griba
ETC_20150317_000099	Big Griba
ETC_20150317_000100	Этот монстр был однажды описан как трудно блокируемый и непригодным для еды.
ETC_20150317_000101	Big Blue Griba
ETC_20150317_000102	Огромный, сильный, тяжелый монстр. Не самая любимая добыча охотников.
ETC_20150317_000103	Big Green Griba
ETC_20150317_000104	Big Red Griba
ETC_20150317_000105	Old Kepa
ETC_20150317_000106	Старые Kepa быстры за счет их силы. Будьте осторожны с его едким запахом, который стал более сильным с возрастом.
ETC_20150317_000107	Gelsvas Old Kepa
ETC_20150317_000108	Black Old Kepa
ETC_20150317_000109	Red Old Kepa
ETC_20150317_000110	Его выцветшая от старости окраска подтверждает его опасность.
ETC_20150317_000111	Large Old Kepa
ETC_20150317_000112	Rafflesia
ETC_20150317_000113	Green Rafflesia
ETC_20150317_000114	Black Rafflesia
ETC_20150317_000115	Листья этого растения прочнее кожи.
ETC_20150317_000116	Red Rafflesia
ETC_20150317_000117	Raffly
ETC_20150317_000118	Даже после произошедших мутаций, Raffly по-прежнему охотятся на мелких насекомых.
ETC_20150317_000119	Blue Raffly
ETC_20150317_000120	Gray Raffly
ETC_20150317_000121	Black Raffly
ETC_20150317_000122	Ridimed
ETC_20150317_000123	Blue Ridimed
ETC_20150317_000124	Несмотря на то, что он мутировал из травы, все его тело теперь из древесины.
ETC_20150317_000125	Black Ridimed
ETC_20150317_000126	Red Ridimed
ETC_20150317_000127	Sakmoli
ETC_20150317_000128	Атаковав его ноги вы не заставите его упасть.
ETC_20150317_000129	Green Sakmoli
ETC_20150317_000130	Orange Sakmoli
ETC_20150317_000131	Black Sakmoli
ETC_20150317_000132	Rikaus
ETC_20150317_000133	Green Apparition
ETC_20150317_000134	Призраки, пострадавших от демонов часто меняют свою внешность аналогично этому.
ETC_20150317_000135	Black Apparition
ETC_20150317_000136	Spectra
ETC_20150317_000137	Black Spectra
ETC_20150317_000138	В отличие от других монстров привидений, эти монстры часто были злыми душами, даже когда они были живы.
ETC_20150317_000139	Giant Specter
ETC_20150317_000140	Specter of Deceit
ETC_20150317_000141	Green Rikaus
ETC_20150317_000142	Spectron
ETC_20150317_000143	Specter Monarch
ETC_20150317_000144	Thornball
ETC_20150317_000145	Это плавучее семя трансмутирует, теряя свой пух ради твёрдой оболочки и шипов. Однако, его способность плавать остаётся неизменной.
ETC_20150317_000146	Big Thornball
ETC_20150317_000147	Woodspirit
ETC_20150317_000148	Blue Woodspirit
ETC_20150317_000149	Green Woodspirit
ETC_20150317_000150	Woodsman
ETC_20150317_000151	Тот факт, что Woodsman не может двигаться - настоящее благословение.
ETC_20150317_000152	Blue Woodsman
ETC_20150317_000153	Gray Woodsman
ETC_20150317_000154	Red Woodsman
ETC_20150317_000155	Dark Slime
ETC_20150317_000156	Хоть Slimes и похожи внешне, они делятся по видам, так как различаются материалами от которых произошли.
ETC_20150317_000157	Rusrat
ETC_20150317_000158	Эти стражи были размещены во многих гробницах, чтобы останавливать нарушителей. Их название произошло от расхитителей гробниц, которые уже столкнулись с ними.
ETC_20150317_000159	Medakia
ETC_20150317_000160	Medakia были созданы осужденным волшебником, чтобы отгонять злоумышленников, которые были более опасны, чем грабители могил.
ETC_20150317_000161	Wheelen
ETC_20150317_000162	Wheelen один из многих магических созданий, созданных для защиты запечатанных гробниц, и в настоящее время не имеющих надсмотрщика.
ETC_20150317_000163	Wheelen 3
ETC_20150317_000164	Mauros
ETC_20150317_000165	Каменная кавалерия Royal Mausoleum - магические творения, созданные, чтобы выдержать даже самых тяжеловооруженных рыцарей.
ETC_20150317_000166	Truffle
ETC_20150317_000167	По неизвестным причинам, этот монстр ненавидит людей. Он предпочитает нападать на людей, а не охотиться на более подходящую добычу, или даже заботиться о своем собственном выживании.
ETC_20150317_000168	Trufflelia
ETC_20150317_000169	Bramble
ETC_20150317_000170	Bramble Ego
ETC_20150317_000171	Willow
ETC_20150317_000172	Willowna
ETC_20150317_000173	Hanaming
ETC_20150317_000174	Листья, упавшие с мертвых Hanaming, быстро вянут.
ETC_20150317_000175	Chupacabra
ETC_20150317_000176	Их число возросло после Великого Растительного Катаклизма; теперь они стремятся конкурировать с людьми за территорию.
ETC_20150317_000177	Gray Chupacabra
ETC_20150317_000178	Large Gray Chupacabra
ETC_20150317_000179	Chupacabra двигается совсем незаметно. Это умение является гораздо более опасным для человека, если рядом есть элитная Chupacabra.
ETC_20150317_000180	Yellow Chupacabra
ETC_20150317_000181	Popolion
ETC_20150317_000182	Поговаривают, что от голоса Popolion, разбиваются даже стеклянные бутылки.
ETC_20150317_000183	Sauga
ETC_20150317_000184	Saugas
ETC_20150317_000185	Scorpion
ETC_20150317_000186	Tontulia
ETC_20150317_000187	Tentulia является более подвижной мутацией Tontus.
ETC_20150317_000188	Tontus
ETC_20150317_000189	Когда кактусы мутировали в Tontus, жизнь жителей в условиях пустыни ухудшилась.
ETC_20150317_000190	Vekarabe
ETC_20150317_000191	По сравнению с другими видами животных, Vekarabe не сильно отличается от их первоначальной формы, когда они превратились в монстров. Однако, их агрессия определенно новое дополнение.
ETC_20150317_000192	Geppetto
ETC_20150317_000193	Название этого монстра соответствует его внешности, но оно совсем не отражает его сущность.
ETC_20150317_000194	Boowook
ETC_20150317_000195	Boowook один из многих оборонительных устройств, оставленных Zachariel Great в Royal Mausoleum.
ETC_20150317_000196	Bearkaras
ETC_20150317_000197	Pino
ETC_20150317_000198	Pino был назван так своими первооткрывателями, провёдшими аналогию с Geppetto.
ETC_20150317_000199	Helmet Bug
ETC_20150317_000200	Монстры, которые только выросли в размерах и стали агрессивными - это просто загляденье, по крайней мере, по сравнению с некоторыми другими ужасами в этом мире.
ETC_20150317_000201	Coliflower
ETC_20150317_000202	Хотя этот неподвижный монстр не особенно враждебен по отношению к людям, он всё-таки атакует всех теплокровных животных.
ETC_20150317_000203	Coliflowerr
ETC_20150317_000204	Vikaras
ETC_20150317_000205	Изначально созданный для защиты Royal Mausoleum, с тех пор он изменился и нападает на любого, кто входит.
ETC_20150317_000206	Cockatrice
ETC_20150317_000207	Несмотря на то, что обычный Cockatrice довольно мал, его страшное дыхание и взгляд могут мгновенно парализовать.
ETC_20150317_000208	Tombdog
ETC_20150317_000209	Zinutekas
ETC_20150317_000210	Хотя их внешне можно спутать с другими похожими монстрами, Zinutekas - искусственно созданные с помощью магии конструкты.
ETC_20150317_000211	Pokubu
ETC_20150317_000212	Несмотря на его внешний вид, Pokubu может быть весьма свиреп.
ETC_20150317_000213	Gray Pokubu
ETC_20150317_000214	Zinutena
ETC_20150317_000215	Lauzinutena
ETC_20150317_000216	Dandel
ETC_20150317_000217	Что в Dandel намного более пугающее, чем его ороговевшие волосы, так это его живость и агрессивность.
ETC_20150317_000218	Candle Spider
ETC_20150317_000219	Blue Candle Spider
ETC_20150317_000220	Yellow Candle Spider
ETC_20150317_000221	Corpse Flower
ETC_20150317_000222	Blue Corpse Flower
ETC_20150317_000223	Green Corpse Flower
ETC_20150317_000224	Winged Frog
ETC_20150317_000225	Из-за окружения, монстрам пришлось принимать различные формы. Этот сформировал себе крылья
ETC_20150317_000226	Green Winged Frog
ETC_20150317_000227	Gray Winged Frog
ETC_20150317_000228	Liverwort
ETC_20150317_000229	Liverwort v2
ETC_20150317_000230	Leaf Bug
ETC_20150317_000231	Несмотря на их внешность, эти существа не полые внутри.
ETC_20150317_000232	Catacombs Leaf Bug
ETC_20150317_000233	King Liverwort
ETC_20150317_000234	Unfortunate Liverwort
ETC_20150317_000235	Salamion
ETC_20150317_000236	Salindy
ETC_20150317_000237	Salun
ETC_20150317_000238	Gravegolem
ETC_20150317_000239	Изначально созданный с хорошими намерениями, теперь голем живет одержимый злой энергией.
ETC_20150317_000240	Drake
ETC_20150317_000241	Низший демон, вызванный верховным демоном для захвата башен.
ETC_20150317_000242	Green Drake
ETC_20150317_000243	Эти низшие демоны имеют множество форм из-за их многочисленности.
ETC_20150317_000244	Black Drake
ETC_20150317_000245	Этот вид был когда-то довольно редок. Тем не менее, в последнее время, их количество значительно увеличилось.
ETC_20150317_000246	Big Cockatrice
ETC_20150317_000247	Big Cockatrice довольно опасен, так как его взгляд и дыхание может заставить оцепенеть любого противника. Это существо не следует воспринимать легкомысленно.
ETC_20150317_000248	Green Cockat
ETC_20150317_000249	Red Cockat
ETC_20150317_000250	Sequoia
ETC_20150317_000251	Blue Sequoia
ETC_20150317_000252	Corrupted
ETC_20150317_000253	Blue Corrupted
ETC_20150317_000254	Bagworm
ETC_20150317_000255	Численность Bagworms больше не растет, однако его нынешняя популяция достаточна, чтобы не беспокоиться о вымирании.
ETC_20150317_000256	Bagworm
ETC_20150317_000257	Sequoia Flame
ETC_20150317_000258	Его тело исчезает, если вы держитесь подальше от него в течение длительного времени.
ETC_20150317_000259	Old Hook
ETC_20150317_000260	Он использовал свой крюк на большом монстре, что бы выбраться из демонического мира и претерпел значительные изменения.
ETC_20150317_000261	Stumpy Tree
ETC_20150317_000262	Несмотря на то, что стало меньше лесозаготовительной деятельности, монстры, возникающие из пней, продолжают появляться. Сейчас они по всей видимости, образуются из остатков монстров-растений.
ETC_20150317_000263	Catacomb Gravegolem
ETC_20150317_000264	Root Mole
ETC_20150317_000265	Poiming
ETC_20150317_000266	Root of the Tree Mole
ETC_20150317_000267	Eye of Mirtis
ETC_20150317_000268	Eye of Great Mirtis
ETC_20150317_000269	Stone
ETC_20150317_000270	Vubbe Extermination Bomb
ETC_20150317_000271	Time Bomb (score dungeon only)
ETC_20150317_000272	Time Bomb
ETC_20150317_000273	OBB stone
ETC_20150317_000274	Male Wizard
ETC_20150317_000275	Female Wizard
ETC_20150317_000276	Damaged Seal
ETC_20150317_000277	Symbol of Sin
ETC_20150317_000278	(Temporary) Prison Control Device
ETC_20150317_000279	Collapsed Guard
ETC_20150317_000280	Mercenary
ETC_20150317_000281	Ghost Soldier
ETC_20150317_000282	Deserter
ETC_20150317_000283	Lunatic Soldier
ETC_20150317_000284	Tied Combatant
ETC_20150317_000285	Mercenary Officer
ETC_20150317_000286	Condottiere
ETC_20150317_000287	Shield Mercenary
ETC_20150317_000288	Ghost Armor
ETC_20150317_000289	Large Ghost Armor
ETC_20150317_000290	Follower Ghost
ETC_20150317_000291	Boy Ghost
ETC_20150317_000292	Madam Ghost
ETC_20150317_000293	Ghost Uncle
ETC_20150317_000294	Follower Ghost Leader
ETC_20150317_000295	Follower Ghost (Alter Ego)
ETC_20150317_000296	Three-Eyed Horn
ETC_20150317_000297	Three-Eyed Wing
ETC_20150317_000298	Follower
ETC_20150317_000299	Heavy Infantry Zombie
ETC_20150317_000300	Magic Book
ETC_20150317_000301	Unripe Pumpkin
ETC_20150317_000302	Well Die Onion
ETC_20150317_000303	Large HP Onion
ETC_20150317_000304	Amber Target
ETC_20150317_000305	Stake Stockades
ETC_20150317_000306	Defense Guardian
ETC_20150317_000307	Babauzi
ETC_20150317_000308	Nachi Zombie
ETC_20150317_000309	Zombie Berserker
ETC_20150317_000310	Candle Zombie
ETC_20150317_000311	Zombie Shooter
ETC_20150317_000312	Wheelchair Zombie
ETC_20150317_000313	High Vubbe Archer
ETC_20150317_000314	Desmodus
ETC_20150317_000315	Популярная теория гласит, что нужно быть демоном, чтобы использовать этого гонца.
ETC_20150317_000316	Treasure Vubbe
ETC_20150317_000317	Vubbe Thief
ETC_20150317_000318	Наиболее часто встречающиеся Vubbe.
ETC_20150317_000319	Red Vubbe Robber
ETC_20150317_000320	Со временем эти Vubbes становятся куда более разнообразными и специализированными.
ETC_20150317_000321	Blue Vubbe Thief
ETC_20150317_000322	Vubbe Miner
ETC_20150317_000323	It is hard to determine whether their mining roles are permanent since little is known about the Vubbes' social system.
ETC_20150317_000324	Red Vubbe Miner
ETC_20150317_000325	Blue Vubbe Miner
ETC_20150317_000326	Large Vubbe Miner
ETC_20150317_000327	Vubbe Archer
ETC_20150317_000328	Vubbe Archers специализируются на использовании оружия дальнего боя. Таким образом, некоторые люди утверждают, что Vubbe имеют определенные роли.
ETC_20150317_000329	Red Vubbe archer
ETC_20150317_000330	Можно собирать и использовать луки и стрелы, которые сделали Vubbes.
ETC_20150317_000331	Fine Observation
ETC_20150317_000332	Eye
ETC_20150317_000333	Prison Guard
ETC_20150317_000334	Paladin Follower A1
ETC_20150317_000335	Paladin Follower A2
ETC_20150317_000336	Paladin Follower A3
ETC_20150317_000337	Explosion Mine
ETC_20150317_000338	Toxic Mine
ETC_20150317_000339	Antipersonnel Mines
ETC_20150317_000340	Hell Mine
ETC_20150317_000341	Villager
ETC_20150317_000342	Baby Angel Statue
ETC_20150317_000343	Hall Statue
ETC_20150317_000344	Hidden Trigger Monster Type
ETC_20150317_000345	Owl Sculpture
ETC_20150317_000346	Transparent Object
ETC_20150317_000347	Fire Ball
ETC_20150317_000348	Armed Tortoise Shell Large
ETC_20150317_000349	Armed Tortoise Shell
ETC_20150317_000350	Male Apostate (3D)
ETC_20150317_000351	Female Apostate (3D)
ETC_20150317_000352	Modification
ETC_20150317_000353	Abomination
ETC_20150317_000354	High Vubbe Fighter
ETC_20150317_000355	Monster Wizard
ETC_20150317_000356	Battery (temporary)
ETC_20150317_000357	Block of Ice
ETC_20150317_000358	Pillar of Ice
ETC_20150317_000359	Bonfire
ETC_20150317_000360	Mine
ETC_20150317_000361	Pavise
ETC_20150317_000362	Subzero Shield
ETC_20150317_000363	Dice
ETC_20150317_000364	Catapult
ETC_20150317_000365	Thicket of Butterfly
ETC_20150317_000366	Bramble Bush
ETC_20150317_000367	Sword Pell
ETC_20150317_000368	Bait
ETC_20150317_000369	Hit object
ETC_20150317_000370	Long-Branched Tree
ETC_20150317_000371	A shrub monster that attacks by either firing its twigs or striking with its branches.
ETC_20150317_000372	Rocktor
ETC_20150317_000373	Venucelos
ETC_20150317_000374	По легенде этот сторожевой пёс - творение, которое Zachariel Great планировал сохранить.
ETC_20150317_000375	Cemetery Golem
ETC_20150317_000376	Kepa Chieftain
ETC_20150317_000377	Poata
ETC_20150317_000378	Deadborn
ETC_20150317_000379	Salamander
ETC_20150317_000380	Saltistter
ETC_20150317_000381	Ginklas
ETC_20150317_000382	Stone Whale
ETC_20150317_000383	Tutu
ETC_20150317_000384	Yonazolem
ETC_20150317_000385	Master Genie
ETC_20150317_000386	Biteregina
ETC_20150317_000387	Iltiswort
ETC_20150317_000388	Giant Red Wood Goblin
ETC_20150317_000389	Lepus
ETC_20150317_000390	Mushcaria
ETC_20150317_000391	Chafer
ETC_20150317_000392	Gaigalas
ETC_20150317_000393	Throneweaver
ETC_20150317_000394	Bebraspion
ETC_20150317_000395	Soggy Mushwort
ETC_20150317_000396	Sparnas
ETC_20150317_000397	Mineloader
ETC_20150317_000398	Rajatoad
ETC_20150317_000399	Shadowgaler
ETC_20150317_000400	Helgasercle
ETC_20150317_000401	Necroventer
ETC_20150317_000402	Wriggling Lutopus
ETC_20150317_000403	Linkroller
ETC_20150317_000404	Rocktortuga
ETC_20150317_000405	Yekub
ETC_20150317_000406	Poisonous Rytaswort
ETC_20150317_000407	Ravinepede
ETC_20150317_000408	Netherbovine
ETC_20150317_000409	Wild Carnivore
ETC_20150317_000410	Tomb Lord
ETC_20150317_000411	Achat
ETC_20150317_000412	Shnayim
ETC_20150317_000413	Honeypin
ETC_20150317_000414	Rajapearl
ETC_20150317_000415	Cyclops
ETC_20150317_000416	Archon
ETC_20150317_000417	Carapace
ETC_20150317_000418	Werewolf
ETC_20150317_000419	Tini
ETC_20150317_000420	Из-за его милой внешности многие люди пытались завоевать сердце Tini, но ни один не преуспел.
ETC_20150317_000421	Tree Ambulo
ETC_20150317_000422	Дерево Ambulo отличается от типичных монстров, которые произошли из царства демонов, так как это не деформация между существами и вещами.
ETC_20150317_000423	Golemlet
ETC_20150317_000424	Vubbesqua
ETC_20150317_000425	Spion
ETC_20150317_000426	It's well-trained to follow its owner's every command. Unfortunately, its owner is usually a demon.
ETC_20150317_000427	Mirtislampa
ETC_20150317_000428	Spekull
ETC_20150317_000429	Scap
ETC_20150317_000430	Shredded
ETC_20150317_000431	Shredded - это демонический монстр, который был выведен из побочного продукта, возникающего в результате трансформирования монстра в мощного призрака.
ETC_20150317_000432	Yekubite
ETC_20150317_000433	Yekub бросает свой гнусный зов в мир демонов, вызывая много приспешников и распространяя их по всему миру. Yekubite имя, которое дали этим приспешникам.
ETC_20150317_000434	Shardstatue
ETC_20150317_000435	Одержимый демонический монстр, помешанный на святой статуе Богини.
ETC_20150317_000436	Deadborn Scap
ETC_20150317_000437	Cire
ETC_20150317_000438	Этот монстр, кажется, трансмутировал не от типичных растений, а из сгнившей флоры. Однако, нет никаких доказательств, подтверждающих этот вывод.
ETC_20150317_000439	Ritasfung
ETC_20150317_000440	Tisfung
ETC_20150317_000441	Mushpung
ETC_20150317_000442	Treegool
ETC_20150317_000443	При превращении в монстра с упрочненным деревянным телом и без листвы, Treegool заменил фотосинтез на охоту.
ETC_20150317_000444	Cyst
ETC_20150317_000445	Ammon
ETC_20150317_000446	Existing since ancient times, Ammon has harmed countless people and monsters.
ETC_20150317_000447	Operor
ETC_20150317_000448	Хотя он и сохранил свою оригинальную форму, Operor выработал очень агрессивное и жестокое поведение.
ETC_20150317_000449	Chafperor
ETC_20150317_000450	Сильно мутировавший гибрид пчелы и жука с качествами обоих. Он работает в стае.
ETC_20150317_000451	Ravinelarva
ETC_20150317_000452	Прежде чем было выявлено, что монстр - мутировавшее растение, было предположение, что это - личинка монстра.
ETC_20150317_000453	Nethercalf
ETC_20150317_000454	Infrogalas
ETC_20150317_000455	Carnivorefung
ETC_20150317_000456	Vesper
ETC_20150317_000457	Животные, живущие в Royal Mausoleum были изменены в последние годы под влиянием злой энергии.
ETC_20150317_000458	Karas
ETC_20150317_000459	Это магическое существо, чьё название происходит от того или иного вида Golem.
ETC_20150317_000460	Echad
ETC_20150317_000461	Магическое существо, созданное для защиты Royal Mausoleum. Несмотря на хлипкость, оно достаточно сильно чтобы противостоять могуществу Богини.
ETC_20150317_000462	Shtayim
ETC_20150317_000463	Несмотря на его внешний вид, это магическое творение получило благословение Богини. Может наносить критический урон демонам.
ETC_20150317_000464	Tombsinker
ETC_20150317_000465	Много существ было размещено в Royal Mausoleum, чтобы защищать его от вторжения демонов, в том числе и Tombsinker.
ETC_20150317_000466	Graztas
ETC_20150317_000467	Abogust
ETC_20150317_000468	Weaver
ETC_20150317_000469	Ходят слухи, что Weaver ищет нить, сделанную из камня.
ETC_20150317_000470	Hallowventer
ETC_20150317_000471	Пожалуйста, не смотрите прямо в их капюшоны.
ETC_20150317_000472	Meleech
ETC_20150317_000473	Крепкие и токсичные, их способность к высасыванию крови - уникальна.
ETC_20150317_000474	Infro Salamander
ETC_20150317_000475	Zolem
ETC_20150317_000476	Unlike traditional Golems, Zolem move by a mysterious aura, not magic.
ETC_20150317_000477	Kepa Raider
ETC_20150317_000478	Хотя Кера по названию, она на самом деле пришла из мира демонов.
ETC_20150317_000479	Mushcarfung
ETC_20150317_000480	Wood Goblin
ETC_20150317_000481	Злой goblin призванный Vubbes. Иногда появляется даже в областях где нет Vubbes.
ETC_20150317_000482	Red Wood Goblin
ETC_20150317_000483	Templeslave
ETC_20150317_000484	Ringring
ETC_20150317_000485	Woodin
ETC_20150317_000486	Stone Orca
ETC_20150317_000487	Монстр-мутант, который выглядит как дельфин. Его другие особенности соответствуют небольшому Stone Whale.
ETC_20150317_000488	Rajapearlite
ETC_20150317_000489	Drape
ETC_20150317_000490	Несмотря на то, что из-за своего хвоста его относят к типу сlyra, этот монстр, похоже, трансформировался из тыквы.
ETC_20150317_000491	Infroholder
ETC_20150317_000492	As demons become more populous, new varieties of them appear. Infroholder is one of these new types of demon.
ETC_20150317_000493	Lepusbunny
ETC_20150317_000494	В прошлом это животное было вполне дружелюбно по отношению к людям, но теперь оно еще более опасно, чем медведь.
ETC_20150317_000495	Nuwort
ETC_20150317_000496	Beadbird
ETC_20150317_000497	Minos
ETC_20150317_000498	Armori
ETC_20150317_000499	Armori - всадник без головы, чьи доспехи наполнены злой энергией.
ETC_20150317_000500	Mine Lever
ETC_20150317_000501	Shadowgaler_summon
ETC_20150317_000502	Hound
ETC_20150317_000503	Там что, есть еще один хвост?
ETC_20150317_000504	Stoulet
ETC_20150317_000505	Демон, который уважает сильных и жесток по отношению к слабым. Тем не менее, его агрессия принижает эту характеристику.
ETC_20150317_000506	Rajatadpole
ETC_20150317_000507	Cuticle
ETC_20150317_000508	Infroburk
ETC_20150317_000509	It is uncertain which monster Infroburk resembles, but it certainly is ferocious.
ETC_20150317_000510	Mandara Soldier
ETC_20150317_000511	Night Maid
ETC_20150317_000512	Worg
ETC_20150317_000513	Saltisdaughter
ETC_20150317_000514	Prison Fighter
ETC_20150317_000515	Они убивают своих собратьев демонов от скуки.
ETC_20150317_000516	Greentoshell
ETC_20150317_000517	Sparnicht
ETC_20150317_000518	Infrorocktor
ETC_20150317_000519	Маленький монстр, получерепаха, полуминерал. Он предпочитает жить в одиночестве, а не в группе.
ETC_20150317_000520	Catacombs Maggot
ETC_20150317_000521	Maggot Egg
ETC_20150317_000522	Green Maggot
ETC_20150317_000523	Yellow Maggot
ETC_20150317_000524	Green Maggot Egg
ETC_20150317_000525	Yellow Maggot Egg
ETC_20150317_000526	Cactusvel
ETC_20150317_000527	Kirmeleech
ETC_20150317_000528	Magburk
ETC_20150317_000529	Drapeliun
ETC_20150317_000530	Sparnashorn
ETC_20150317_000531	Ironbaum
ETC_20150317_000532	Vubbe Chaser
ETC_20150317_000533	Glass Mole
ETC_20150317_000534	Denoptic
ETC_20150317_000535	Sparnasman
ETC_20150317_000536	Tomb Maiden
ETC_20150317_000537	Unknocker
ETC_20150317_000538	Mummyghast
ETC_20150317_000539	Kubas
ETC_20150317_000540	Grinender
ETC_20150317_000541	Pyroego
ETC_20150317_000542	Gorgon
ETC_20150317_000543	Lithorex
ETC_20150317_000544	Moa
ETC_20150317_000545	Scorpio
ETC_20150317_000546	Deathweaver
ETC_20150317_000547	Templeshooter
ETC_20150317_000548	Chapparition
ETC_20150317_000549	Minotaur
ETC_20150317_000550	Cerberus
ETC_20150317_000551	Cursed Devilglove
ETC_20150317_000552	Giant Wood Goblin
ETC_20150317_000553	Helgasercle's Reflection
ETC_20150317_000554	Hori Wizard
ETC_20150317_000555	Vubbe Warrior
ETC_20150317_000556	Summoned Minion
ETC_20150317_000557	Scarecrow
ETC_20150317_000558	Aukuras
ETC_20150317_000559	High Vubbe
ETC_20150317_000560	Caltrop
ETC_20150317_000561	Torch
ETC_20150317_000562	Crystal Spider
ETC_20150317_000563	Из-за его внешнего вида, начинающие шахтеры часто пытаются добывать кристалл на спине паука и соответственно подвергаются нападению.
ETC_20150317_000564	Swarm of Bees
ETC_20150317_000565	Caltrop
ETC_20150317_000566	Filibo
