SKILL_20150317_000001	Атака
SKILL_20150317_000094	[Rusrat] Физический, Slash, Lightning Property Attack 2 times
SKILL_20150317_000095	[Rusrat] Физический, Slash, Lightning Property Attack 1 time
SKILL_20150317_000096	[Medakia] Физический, Slash, Dark Property Attack 1 time
SKILL_20150317_000097	[Medakia] Magic, Magic, Dark Property Attack 1 time
SKILL_20150317_000098	[Medakia] Ground Smash
SKILL_20150317_000099	[Wheelen] Two-handed clap
SKILL_20150317_000100	[Mauros] Физический, Strike, Dark Property Attack 1 time
SKILL_20150317_000101	[Mauros] Физический, Strike, Dark Property Smash Attack 1 time
SKILL_20150317_000102	[Sauga] Физический Strike Earth Property Attack 1 time
SKILL_20150317_000103	[Sauga] Физический, Strike, Earth Property Ground Smash
SKILL_20150317_000104	Pumpkin Normal attack.
SKILL_20150317_000105	Attack 2
SKILL_20150317_000106	Pumpkin Normal attack 2.
SKILL_20150317_000107	[Saurman Priest] Normal attack.
SKILL_20150317_000108	Skills
SKILL_20150317_000109	[Saurman Priest] skills.
SKILL_20150317_000110	Saurman Normal attack.
SKILL_20150317_000111	Saurman Normal attack 2.
SKILL_20150317_000112	Boy Ghost Normal attack.
SKILL_20150317_000113	Boy Ghost skills.
SKILL_20150317_000114	Uncle Ghost Normal attack.
SKILL_20150317_000115	Uncle Ghost skills.
SKILL_20150317_000116	Goble Elite Normal attack.
SKILL_20150317_000117	Goble Elite Normal attack 2.
SKILL_20150317_000118	Screw Zombie Normal attack.
SKILL_20150317_000119	Screw Zombie Normal attack 2.
SKILL_20150317_000120	Berserker Zombie Normal attack.
SKILL_20150317_000121	Candle Zombie Normal attack.
SKILL_20150317_000122	Zombie Archer Normal attack.
SKILL_20150317_000123	[High Vubbe] Физический, Slash, Water Property, Normal attack
SKILL_20150317_000124	[High Vubbe Archer] Range, Pierce, Water Property, Normal attack
SKILL_20150317_000125	Girl Ghost Normal attack.
SKILL_20150317_000126	Girl Ghost skills.
SKILL_20150317_000127	Madam Ghost Normal attack.
SKILL_20150317_000128	Madam Ghost skills.
SKILL_20150317_000129	Mirtis Eyeball Normal attack.
SKILL_20150317_000130	Mirtis Eyeball Normal attack 2.
SKILL_20150317_000131	Specter Elite Normal attack.
SKILL_20150317_000132	Specter Elite Normal attack 2.
SKILL_20150317_000133	[Chinency] Физический, Strike, Earth Property, one stroke ahead-back blow
SKILL_20150317_000134	[Popolion] Физический, Strike, Earth Property, Headbutt
SKILL_20150317_000135	[Popolion] Физический, Strike, Earth Property, Sonic wave attack
SKILL_20150317_000136	[Range Chinency] Normal attack, Forward missile
SKILL_20150317_000137	[Range Chinency] Skill 1, Forward missile, induce Опрокидывание
SKILL_20150317_000138	[Chupacabra] Физический, Strike, Earth Property, Headbutt
SKILL_20150317_000139	[Chupacabra] Физический, Strike, Earth Property, Jump и Stomp
SKILL_20150317_000140	[Chupacabra] Chupa Normal attack 3
SKILL_20150317_000141	[Chupacabra] Chupa Normal attack 4
SKILL_20150317_000142	Specter Normal attack.
SKILL_20150317_000143	Woodspirit Normal attack.
SKILL_20150317_000144	Woodspirit Normal attack 2.
SKILL_20150317_000145	Guard Normal attack.
SKILL_20150317_000146	Guard Normal attack 2.
SKILL_20150317_000147	Large explosion
SKILL_20150317_000148	Large explosion (Defense)
SKILL_20150317_000149	One-way turret Normal attack.
SKILL_20150317_000150	[Ridimed] Физический, Blow, Poison Property, Attack 1 time
SKILL_20150317_000151	Goblin Fighter attack.
SKILL_20150317_000152	Thorn Bush Normal attack.
SKILL_20150317_000153	[Combat Soldiers] Combatants attack
SKILL_20150317_000154	[Combat Soldiers] Combatants attack 2
SKILL_20150317_000155	Zombie Archer skill.
SKILL_20150317_000156	Wheelchair Zombie Normal attack.
SKILL_20150317_000157	Wheelchair Zombie skills.
SKILL_20150317_000158	Wall of Flame
SKILL_20150317_000159	Create a Wall of Flame that damages enemies upon contact.
SKILL_20150317_000160	Mine explosion
SKILL_20150317_000161	Detonate explosive mines.
SKILL_20150317_000162	Toxic explosion
SKILL_20150317_000163	Detonate toxic mines.
SKILL_20150317_000164	Claymore explosion
SKILL_20150317_000165	Claymore explosion.
SKILL_20150317_000166	Jump Attack
SKILL_20150317_000167	Life Stream
SKILL_20150317_000168	Life Stream Hill
SKILL_20150317_000169	Glacier Wedge
SKILL_20150317_000170	After  2 Glacier Wedge
SKILL_20150317_000171	Seed explosion
SKILL_20150317_000172	Seed explosion.
SKILL_20150317_000173	Flame explosion
SKILL_20150317_000174	Flame explosion.
SKILL_20150317_000175	Snowstorm
SKILL_20150317_000176	Meteor Bang
SKILL_20150317_000177	Normal attack
SKILL_20150317_000178	Smack Down
SKILL_20150317_000179	Smack down и damage enemies while pushing them away.
SKILL_20150317_000180	Missile attack
SKILL_20150317_000181	AOS turret attack
SKILL_20150317_000182	[Woodman] attack
SKILL_20150317_000183	Salamander attack
SKILL_20150317_000184	[Vubbe Miner] Физический, Slash, Earth Property, Swing Pickaxe
SKILL_20150317_000185	Hall statue attack
SKILL_20150317_000186	Hall statue skill
SKILL_20150317_000187	Priest attack 1
SKILL_20150317_000188	Priest skill 1
SKILL_20150317_000189	[Green Apparition] Magic, Magic, Lightning Property, Attack 1 time
SKILL_20150317_000190	Attack Statue 1
SKILL_20150317_000191	[Vubbe Theif] Физический, Slash, Earth Property, Spear Twirl
SKILL_20150317_000192	[Vubbe Theif] Физический, Pierce, Earth Property Aries skills
SKILL_20150317_000193	[Saurman Spearman] Normal attack.
SKILL_20150317_000194	[Saurman Spearman] Normal attack 2.
SKILL_20150317_000195	[Vubbe Archer] Range, Pierce, Earth Property, Frontal Arrow Shot
SKILL_20150317_000196	[Pokubu] Физический, blow, Earth Property, Hook Attack
SKILL_20150317_000197	[Bagworm] Magic, Magic, Poison Property, Frontal Poison Spread Attack
SKILL_20150317_000198	[Bagworm] Long Distance, Magic, Poison Property, Ranged Poison Shot
SKILL_20150317_000199	[Saurman Axeman] Normal attack.
SKILL_20150317_000200	[Saurman Axeman] Normal attack 2.
SKILL_20150317_000201	Heal
SKILL_20150317_000202	Monster Heal
SKILL_20150317_000203	Vubbe Miner Attack
SKILL_20150317_000204	[Feral Pokubu] Normal attack.
SKILL_20150317_000205	Guard Normal attack.
SKILL_20150317_000206	Guard Normal attack 2.
SKILL_20150317_000207	Guard Normal attack 3.
SKILL_20150317_000208	[Candle Spider] Физический, Blow, Dark Property, One-Legged Attack
SKILL_20150317_000209	[Candle Spider] Физический, Blow, Dark Property, Body Slam
SKILL_20150317_000210	[Candle Spider] Физический, Blow, Dark Property, Jump и Two-Legged Stomp
SKILL_20150317_000211	[Winged Frog] Физический, Blow, poison Property, Attack 1 time
SKILL_20150317_000212	[Winged Frog] Физический, Blow, poison Property, Poison Attack 1 time
SKILL_20150317_000213	[Winged Frog] Физический, Blow, Dark Property, Headbutt Опрокидывание Attack
SKILL_20150317_000214	[Black Leaf Bug] Физический, Blow, Dark Property, Body Slam
SKILL_20150317_000215	[Black Leaf Bug] Физический, Blow, Dark Property, Bite attack
SKILL_20150317_000216	[Black Leaf Bug] Физический, Blow, Dark Property, Jump attack
SKILL_20150317_000217	[Cemetery Golem] Физический, Blow, Earth Property attack 1 time
SKILL_20150317_000218	[Drake] Физический, Slash, Урон Свойством Огня, Attack 1 time
SKILL_20150317_000219	[Drake] Magic, Magic, Урон Свойством Огня, Fume Flame attack
SKILL_20150317_000220	[Big Cockatrice] Физический, Pierce, Урон Свойством Огня, Attack 2 times
SKILL_20150317_000221	[Big Cockatrice] Magic, Pierce, Урон Свойством Огня, Fly и head butt
SKILL_20150317_000222	[Big Cockatrice]
SKILL_20150317_000223	[Panto Shaman] Физический Normal Strike
SKILL_20150317_000224	[Panto Shaman] Magic Lightning Property Strike
SKILL_20150317_000225	[Panto Shaman] Magic Lightning Property Magic
SKILL_20150317_000226	[Panto Волшебник] Физический Normal Strike
SKILL_20150317_000227	[Panto Волшебник] Magic Lightning Property Strike
SKILL_20150317_000228	[Panto Волшебник] Magic Lightning Property Magic
SKILL_20150317_000229	[Moya] Физический, Strike, Lightning Property Attack
SKILL_20150317_000230	[Moyabu] Физический, Strike, Lightning Property Attack
SKILL_20150317_000231	[Bavon] Физический, Strike, Earth Property Attack
SKILL_20150317_000232	[Tanu] Физический Poison Property Slash
SKILL_20150317_000233	[Zignuts] Физический Poison Property Strike
SKILL_20150317_000234	[Zignuts] Физический Normal Slash
SKILL_20150317_000235	[Moglan] Физический, Pierce, Lightning Property Attack
SKILL_20150317_000236	[Moglan] Физический, Pierce, Lightning Property Rotation Attack 2 times
SKILL_20150317_000237	[Denden] Физический, Strike, Dark Property Attack
SKILL_20150317_000238	[Denden] Range, Magic, Dark Property Shoot 1 time
SKILL_20150317_000239	[Doyor] Физический, Strike, Poison Property Attack
SKILL_20150317_000240	[Doyor] Magic Reflect Shield Magic
SKILL_20150317_000241	[Tipio] Физический Normal Strike
SKILL_20150317_000242	[Tipio] Magic Poison Property Magic
SKILL_20150317_000243	[Rondo] Физический, Pierce, Earth Property Attack
SKILL_20150317_000244	Физический, Strike, Earth Property, Attack
SKILL_20150317_000245	[Terra Imp] Физический, Strike, Dark Property Attack
SKILL_20150317_000246	[Venucelos] Физический, Strike, Earth Property, Attack
SKILL_20150317_000247	[Venucelos] Физический, Strike, Earth Property, Attack 3 times
SKILL_20150317_000248	[Grave Golem] Физический, Strike, Non-Property, Attack
SKILL_20150317_000249	[Grave Golem] Физический, Strike, Non-Property, Smash Attack
SKILL_20150317_000250	[Grave Golem] Физический, Strike, Non-Property, Attack nearby monster
SKILL_20150317_000251	[Wheelen] Физический, Pierce, Lightning Property Pierce Attack
SKILL_20150317_000252	[Wheelen] Физический, Pierce, Lightning Property Rotation Attack 2 times
SKILL_20150317_000253	[Wheelen] Физический, Pierce, Lightning Property Strong Pierce Attack
SKILL_20150317_000254	[Rockter] Физический, Strike, Non-Property, Body Slam
SKILL_20150317_000255	[Caro] Физический, Slash, Poison Property, Attack 2 times
SKILL_20150317_000256	[Vubbe Fighter] 1 time , Физический, Strike, Earth Property
SKILL_20150317_000257	[Red_Kepa] 1 time Физический,Strike, Урон Свойством Огня
SKILL_20150317_000258	[Tiny] Физический, Slash, Lightning Property, Attack 2 times
SKILL_20150317_000259	[Treeambulo] Физический, Strike, Earth Property, Attack
SKILL_20150317_000260	[Spion] Физический, Strike, Poison Property, Attack 2 times
SKILL_20150317_000261	[Bat] Физический, Strike, Dark Property, Strike with wings
SKILL_20150317_000262	[Shredded] Magic, Magic, Dark Property, Dark Property
SKILL_20150317_000263	[Yekubite] Физический, Strike, Ice Property, Head stomp
SKILL_20150317_000264	[Shardstatue] Физический, Pierce, Lightning Property, Wing strike
SKILL_20150317_000265	[Cire] Физический, Strike, Lightning Property, Attack
SKILL_20150317_000266	[Treegool] Физический, Strike, Dark Property, Attack
SKILL_20150317_000267	[Ammon] Физический, Slash, Earth Property Attack
SKILL_20150317_000268	[Operor] Физический, Pierce, Poison Property, Bee Pierce Attack
SKILL_20150317_000269	[Chafperor] Физический, Pierce, Poison Property, Pierce
SKILL_20150317_000270	[Ravinelerva] Range, Magic, Poison Property, Attack
SKILL_20150317_000271	[Vesper] Физический, Strike, Dark Property, Tail whip
SKILL_20150317_000272	[Karas] Физический, Slash, Dark Property, Attack
SKILL_20150317_000273	[Echad] Физический, Strike, Earth Property, Attack
SKILL_20150317_000274	[Shtayim] Физический, Strike, Earth Property, Attack
SKILL_20150317_000275	[Tombsinker] Физический, Pierce, Dark Property, Attack
SKILL_20150317_000276	[Weaver] Физический, Strike, Earth Property, Smoke attack
SKILL_20150317_000277	[Hallowventer] Magic, Magic, Dark Property, Attack
SKILL_20150317_000278	[Infro Rocktor] Физический, Strike, Earth Property, One-handed hit
SKILL_20150317_000279	[Meleech] Физический, Slash, Poison Property, Attack
SKILL_20150317_000280	[Infroburk] Физический, Strike, Урон Свойством Огня, Attack
SKILL_20150317_000281	[Zolem] Физический, Strike, Earth Property, Attack
SKILL_20150317_000282	[Kepa Raider] Физический, Strike, Dark Property, Attack
SKILL_20150317_000283	[Mushcarfung] Физический, Strike, Dark Property, Body Attack
SKILL_20150317_000284	[Woodman] Физический, Slash, Dark Property, Attack
SKILL_20150317_000285	[Wood_Goblin] Физический, Strike, Lightning Property, Attack
SKILL_20150317_000286	[Stoneorca] Физический, Strike, Ice Property, Tail Hook
SKILL_20150317_000287	[Stoneorca] Magic, Increase Block, Buff , Magic
SKILL_20150317_000288	[Drape] Физический, Pierce, Poison Property Attack,
SKILL_20150317_000289	[Infro Holder] Физический, Strike, Урон Свойством Огня, Attack
SKILL_20150317_000290	[Repusbunny] Физический, Slash, Ice Property, Attack
SKILL_20150317_000291	[Armory] Физический, Strike, Урон Свойством Огня Attack
SKILL_20150317_000292	[Hound] Физический, Pierce, Dark Property Attack
SKILL_20150317_000293	[Stoulet] Физический, Strike, Dark Property Attack
SKILL_20150317_000294	[Prisonfighter] Физический, Slash, Dark Property Attack
SKILL_20150317_000295	[Caro] Физический, Slash, Poison Property, Attack
SKILL_20150317_000296	[Maggot] Физический, Strike, Dark Property, Body Slam
SKILL_20150317_000297	[Vubbe Chaser] Физический, Pierce, Dark Property, Pierce Attack
SKILL_20150317_000298	[Red Meduja] Magic, Magic, Урон Свойством Огня, Attack
SKILL_20150317_000299	[Avatar of Helgasecle] Magic Dark Property Magic
SKILL_20150317_000300	[Filibo] Физический, Strike, Poison Property Attack
SKILL_20150317_000301	[Ellom] Физический, Strike, Lightning Property, Smoke Attack
SKILL_20150317_000302	[Ellom] Физический, Strike, Lightning Property, Smash Attack
SKILL_20150317_000303	[Hogma Warrior] Физический Slash Урон Свойством Огня Attack
SKILL_20150317_000304	[Hogma Archer] Range Pierce Lightning Property Attack
SKILL_20150317_000305	[Hogma Shaman] Magic, Magic, Урон Свойством Огня Attack
SKILL_20150317_000306	[Merog Shaman] Magic, Magic, Ice Property, Range Force Attack
SKILL_20150317_000307	[Merog Needler] Range, Pierce, Poison Property, Shoot Poison Needle
SKILL_20150317_000308	[Hogma Shaman] Magic, Magic, Урон Свойством Огня, Firewall Attack,
SKILL_20150317_000309	[Merog Shaman] Magic, Strike, Ice Property, Forward cane thrust
SKILL_20150317_000310	[Hogma Warrior] Физический, Strike Урон Свойством Огня, Shield Опрокидывание Attack
SKILL_20150317_000311	[Hogma Warrior] Buff, Magic, Урон Свойством Огня, Block increase
SKILL_20150317_000312	[Merog Needler] Range, Pierce, Poison Property, Jump и Shoot Poison Needle
SKILL_20150317_000313	[Hogma Battle Commander] Физический Slash Dark Property, Attack
SKILL_20150317_000314	[Hogma Battle Commander] Физический Pierce Dark Property Attack
SKILL_20150317_000315	[Hogma Battle Commander] Monster Summon
SKILL_20150317_000316	[Lizardman] Физический, Strike, Lightning Property, Attack
SKILL_20150317_000317	[Chupaluka] Физический, Strike, Dark Property Attack
SKILL_20150317_000318	[Ellomago] Физический, Pierce, Lightning Property, Attack
SKILL_20150317_000319	[Ellogua] Физический, Pierce, Lightning Property Attack
SKILL_20150317_000320	[Ellogua] Range, Magic, Lightning Property Shoot
SKILL_20150317_000321	[Wendigo] Физический Slash Урон Свойством Огня Attack
SKILL_20150317_000322	[Lizardman] Физический, Strike, Lightning Property, March in и Headbutt Attack
SKILL_20150317_000323	[Kepari] Magic, Magic, Урон Свойством Огня Attack Fire Debuff
SKILL_20150317_000324	[Kodomor] Физический, Strike, Poison Property Attack
SKILL_20150317_000325	[Kowak] Физический, Strike, Earth Property Attack
SKILL_20150317_000326	[Groll] Физический, Pierce, Poison Property, Smoke attack
SKILL_20150317_000327	[Groll] Физический, Pierce, Poison Property, Pierce with horn Attack
SKILL_20150317_000328	[Chupacabra] Физический, Strike, Dark Property, Attack
SKILL_20150317_000329	[Tama] Физический, Strike, Earth Property Attack
SKILL_20150317_000330	[Medakia] Magic, Slash, Dark Property Attack
SKILL_20150317_000331	[Lemur] Физический, Slash, Ice Property Attack,
SKILL_20150317_000332	[Hogma Fighter] Физический Slash Lightning Property Attack
SKILL_20150317_000333	[Hogma Guard] Физический Strike Ice Property Attack
SKILL_20150317_000334	Физический, Strike, Earth Property One-handed Attack
SKILL_20150317_000335	Magic, Magic, Heal Floor
SKILL_20150317_000336	Физический, Strike, Earth Property Body Attack 3 times
SKILL_20150317_000337	[Old Hook] Физический, Slash, Earth Property, Attack
SKILL_20150317_000338	[Old Hook] Физический, Slash, Earth Property, Smash Attack
SKILL_20150317_000339	[Old Hook] Физический, Slash, Earth Property, Rotation Attack
SKILL_20150317_000340	[Varv] Физический, Strike, Poison Property, Attack
SKILL_20150317_000341	[Phyracon] Magic, Magic, Урон Свойством Огня, Fire Shooting Attack 3 times
SKILL_20150317_000342	[Phyracon] Физический, Strike, Урон Свойством Огня, Attack
SKILL_20150317_000343	[Phyracon] Magic, Magic, Урон Свойством Огня, Flame Fume Attack 2 times
SKILL_20150317_000344	[Red Old Hook] Физический, Slash, Урон Свойством Огня, Rotation Attack
SKILL_20150317_000345	[Red Old Hook] Физический, Slash, Урон Свойством Огня, Smash Attack
SKILL_20150317_000346	[Arma] Физический, Pierce, Урон Свойством Огня, Attack
SKILL_20150317_000347	[Arma] Физический, Pierce, Урон Свойством Огня, Dash и Attack 2 times
SKILL_20150317_000348	[Flask] Физический, Strike, Урон Свойством Огня, Attack
SKILL_20150317_000349	[Black Shaman Doll] Физический, Pierce, Dark Property, Attack
SKILL_20150317_000350	[Dimmer] Физический, Strike, Урон Свойством Огня, Attack
SKILL_20150317_000351	[Dimmer] Физический, Strike, Урон Свойством Огня, Attack 2 times
SKILL_20150317_000352	[Волшебник Shaman Doll] Физический, Strike, Dark Property, Attack
SKILL_20150317_000353	[Волшебник Shaman Doll] Физический, Strike, Dark Property, Rotate и Attack 3 times
SKILL_20150317_000354	[Sequoia Flame] Magic, Magic, Урон Свойством Огня, Attack
SKILL_20150317_000355	[Raflower] Физический, Pierce, Poison Property, Tentacle Attack
SKILL_20150317_000356	[Raflower] Физический, Pierce, Poison Property, Tentacle Attack
SKILL_20150317_000357	[Vubbe Волшебник] Magic, Magic, Урон Свойством Огня, Energy Bolt
SKILL_20150317_000358	[Vubbe Волшебник] Magic, Magic, Урон Свойством Огня, Reflect Shield Buff
SKILL_20150317_000359	[Vubbe Fire Волшебник] Magic, Magic, Урон Свойством Огня, Range Огненный шар Attack
SKILL_20150317_000360	[Vubbe Fire Волшебник] Magic, Magic, Урон Свойством Огня, Огненный столб Attack
SKILL_20150317_000361	[Vubbe Ice Волшебник] Magic, Magic, Ice Property, Range Ice Bolt Attack
SKILL_20150317_000362	[Vubbe Ice Волшебник] Magic, Magic, Ice Property, Refreezer Wave Attack
SKILL_20150317_000363	[Vubbe Shaman] Magic, Magic, Dark Property, Heal Floor Skill
SKILL_20150317_000364	[Vubbe Shaman] Magic, Magic, Dark Property, Floor Skill
SKILL_20150317_000365	[Shredded] Magic, Magic, Dark Property, Teleport to pc и Attack
SKILL_20150317_000366	[Leafnut] Физический, Strike, Poison Property Attack
SKILL_20150317_000367	[Panto] Физический, Strike, Earth Property, Attack 2 times
SKILL_20150317_000368	[Panto] Физический, Strike, Earth Property, Continuous Attack 6 times
SKILL_20150317_000369	[Panto] Magic, Movement Buff, Magic,
SKILL_20150317_000370	[Panto Warrior] Физический, Slash, Earth Property, Attack
SKILL_20150317_000371	[Ultanun] Физический Pierce Poison Property Attack
SKILL_20150317_000372	[Ultanun] Magic Poison Property Magic
SKILL_20150317_000373	[Rubabos] Физический, Strike, Ice Property Attack
SKILL_20150317_000374	[Rubabos] Magic, Magic, Ice Property Attack
SKILL_20150317_000375	[Elite Slime] Физический, Strike, Earth Property, Attack
SKILL_20150317_000376	[Bushspider] Физический, Strike, Non-Property, Attack
SKILL_20150317_000377	[Pokubu] Физический, Strike, Earth Property, Head smash
SKILL_20150317_000378	[Mali] 1 hit Физический, Strike, Poison Property,
SKILL_20150317_000379	[Mallardu] Физический, Strike, Earth Property Attack
SKILL_20150317_000380	[Mallardu] Физический, Strike, Earth Property Heal wind
SKILL_20150317_000381	[Grummer] Физический, Strike, Poison Property, Attack
SKILL_20150317_000382	[Hummingbird] Физический, Pierce, Poison Property Attack
SKILL_20150317_000383	[Leafly] Физический, Slash, Lightning Property, Attack
SKILL_20150317_000384	[Desert Chupacabra] Buff, Magic, Hide HP restoration
SKILL_20150317_000385	[Desert Chupacabra] Физический, Strike, Earth Property Attack
SKILL_20150317_000386	[Chromadog] Физический, Strike, Урон Свойством Огня Attack
SKILL_20150317_000387	[Seedmia] Физический, Strike, Poison Property, Attack
